act_s,count,act
"130 C1 1 RW 177 M.V.ACT",6,328
"130 RW 177 M V ACT",1,329
"130 r/w 177 m.v.a ct.",39,330
"130, 16, 56 R/w 177 IMV ACt",2,331
"131 LOK PRATINIDHITVA ADHINIYAM",2,332
"131 OR 111 or 2EHINDU MARRIGE ACT 1995",3,333
"1315 A 32, 34 OF KE  ACT",1,334
"131B OF HINDU MARRIAGE ACT",36,335
"132 KLR Act",23,336
"133 R P Act 1951",4,337
"134  A   IMV Act",73,338
"134 A and B rw 187 IMV",36,339
"134 B rw 187 IMV",3,340
"135 (1) (b) and 138 (1 ) (d) of Electricity Act 2003",889,341
"135 Electricity Act",41,342
"135 Karnataka Electricity Act",347,343
"135 of I.E. Act 2003",150,344
"135 of I.E. Act.",4320,345
"135 of IE Act",86,346
"135 of IE Act and Sec. 506, 379 r/w 34 IPC and Sec. 42, 43, 44 of KMMC Rule and Sec. 21(1)(1A)4(1)4(",2,347
"135, 138(a) of I.E Act, 2003.",1,348
"135,138, of I.E. Act. 2003",125,349
"136  .1. a. IE Act 2003",1,350
"136 .1.B. of IE Act 2003",2,351
"136 RPACT AND 171/E IPC",2,352
"138  of N I Act",1300,353
"138 0f negotiable instrument act",573,354
"138 AND 142 OF NI ACT",4113,355
"138 N I ACT",1065,356
"138 N I Act",1224,357
"138 N I T ACT",44,358
"138 N I act",572,359
"138 N. I. Act",14002,360
"138 N. I. Act.",11921,361
"138 N.I Act",28,362
"138 N.I. ACT",800,363
"138 N.I. Act",6255,364
"138 N.I.ACT",592,365
"138 N.I.Act",30447,366
"138 N.I.Act.",15968,367
"138 NEGOTIABLE ACT (N.I. ACT)",93,368
"138 NI ACT",14435,369
"138 NI Act",7570,370
"138 NI Act 1881",207,371
"138 NIAct",43,372
"138 OF N I ACT",96,373
"138 OF N.I.ACT",3022,374
"138 OF NEGOTIABLE INSTRUMENT ACT",165,375
"138 OF NI ACT",9208,376
"138 RW 177 M.V.RULES",2,377
"138 ni act",3,378
"138 of N I Act",924,379
"138 of N.I Act",895,380
"138 of N.I. Act",2979,381
"138 of N.I. Act.",8,382
"138 of NI Act",3378,383
"138 of Negotiable Instruments Act",251,384
"138 to 142 Writen transper Act",13,385
"138, 139 and 142 of N.I Act",17,386
"138, 142 of NI Act.",21,387
"138,142 NI ACT",671,388
"13G ACT",1234,389
"13RPCO ACT",32,390
"13RPGO",174,391
"13RPGO Act",9,392
"14  3   of Payment of wages act 1936",1,393
"14 15 32 38 (1) K EX ACT",1,394
"14 A C,P.CODE",1,395
"14 KMV Act r/w 177 IMV Act",7,396
"14 R/w. 177 M.V. Act",1,397
"14 RW 177 M.V.RULES",160,398
"14 Rw 106 IMV Act",1,399
"14 of CPC",9,400
"14(1) Child labour Act",13,401
"14(2) and Para 76(d)",49,402
"14, 15, 32, 34 of Karnataka Excise Act 1965",2,403
"14, 15, 32, 38a of Karnataka Excise Act",12,404
"14,R/w 32,38 (A) of Karnataka Excise Act..",1,405
"140 R/w 177 M V Act.",1,406
"140 of MV Act",59,407
"141 OF RAILWAY ACT",2,408
"141,142,143,144,147,148,504,506,323,324,354 r/w 149 of IPC and Sec. 3(1)(r),3(1)(w)of SC/ST Act 2015",1,409
"141,143,144,147,148,341,324,326,427,435,307,153(a),504 r/w 149 of IPC, sec 2 of KPOD and LOP Act1981",1,410
"141,143,144,147,148,341,326,427,435,307 R/W 149 of IPC and Sec. 2 of KPDLP and Loss of Property Act",1,411
"143 147 148",11,412
"143 147 148 149 427 506 504 IPC and 2(B)K.P.D and Loss of Property Act 1981",1,413
"143 147 148 323 324 504 506 R/W 149",1,414
"143 147 148 427 353 504 149 PEVENTION OF DAMAGE TO PUBLIC PROPERTY ACT",2,415
"143 147 148 427 448 149 IPC 2(b) Karnataka Prevention of Destruction and Loss of Property Act",1,416
"143 147 148 447 323 504 427 149 IPC 2B Karnataka Prevention of Destruction and Loss of Property Act",1,417
"143 147 323 354 448 504 506 109 R/w 149 IPC and Sec. 3.I.X. XI. of SC/ST PA Act 1989",3,418
"143 147 324 326 307 302 436 504 506 Rw 149 IPC and 3 I  X 3 1 XI 3 2 iii 3 2 iv 3 2 V SC/ST Act 1989",5,419
"143 147 341 353 427 447 504 506 R W 149   Karnatka Provention of Distruction loss of Property act",1,420
"143 147 498 A RW 149 302 IPC and 4 DP ACT",2,421
"143 Railway Act",2,422
"143 of Railway Act 1989",144,423
"143, ,147, 144, 148, 323, 324, 307, 504 r./w149 of IPC and Sec. 3(1)(r)(s), 3(2)(va) of SC/ST  Act",1,424
"143, 144, 146, 504, 341, 323, 324, 307 r/w 149 of IPC and Sec.3(1)(r), 3(1)(s), 3(2)(v) of SC/ST POA",1,425
"143, 144, 147, 148, 324, 354, 504 r/w. 149 of IPC and Sec. 3-1-r, 3-1-s, 3-2-va of SC/ST POA Act",1,426
"143, 144, 147, 354(B),35(D) , 323, 324, 506, 149 of IPC and Sec. 12 of POCSO Act.",5,427
"143, 144, 147, 448, 323, 354,506 r/w  149 IPC and Sec. 3(1)(r)(s), 3(2)(va) of SC/ST POA Act.",2,428
"143, 144, 147,148, 427, 324, 448,  504, 506, ,307, 395, r/w 149 of IPC  and sec. 3(2)(va) ofSCST Act",2,429
"143, 144, 148, 341, 506 r/w 149 of IPC and Sec. 3(1)(10) of SC/ST POA Act",1,430
"143, 144, 148,504,354, 324,506 r/w 149 of IPC and Sec. 3(1)(r),3(1)(w) SC/ST POA Act",2,431
"143, 144, 355, 323, 504, 506 r/w 149 of IPC and Sec. 3(1)(r)(s)(2)(va) SC/ST of POA Act.",1,432
"143, 144, 447, 504, 323, 354 r/w 149 of IPC and Sec. 3(1)(f)(s) of SC/ST Amendment Act 2015.",2,433
"143, 144, 504, 323, 506 r/w 149 of IPC and Sec. 3(1)(r) of SC/ST POA Act.",2,434
"143, 145, 147, 323, 506 r/w. 149 of IPC and Sec. 3-1-s of SC/ST Amendement Act 2015",1,435
"143, 147, 114, 323, 355,354(b), 392, r/w 149 of IPC and Sec. 3(1)(f), 3(1)(q), 3(2)(5a) of SC/ST ACT",1,436
"143, 147, 148, 115, 302 R/w 149 IPC and 3.2.V. SC/ST PA Act 1989",2,437
"143, 147, 148, 323, 324, 354, 504, 506 R/w 149 IPC and 3.I.X.XI SC/ST PA Act 1989",2,438
"143, 147, 148, 323, 326, 307, 504 R/w 149 IPC and 212 IPC.",1,439
"143, 147, 148, 324, 323, 354(B), 504, 506 r/w 149 of IPC and sec.3(1)(m),3(1)(r),3(2)(va) SC/ST POA",1,440
"143, 147, 148, 324, 323, 504, 506 r/w 149 of IPC and Sec. 3(1)(r), 3(2)(va) of SC/ST  POA Act.",1,441
"143, 147, 323, 354, 504, 506, 447 r/w. 149 of IPC and Sec. 3(1)(iv), 3(XI) of SC/ST POA Act",2,442
"143, 147, 324, 326, 504 r/w 149 of IPC and Sec. 3(1)(r), 3(1)(s), 3(2)(va), 3(2)(v) of SC/ST POA Act",1,443
"143, 147, 354, 323, 504 r/w 149 of IPC and Sec. 3(1)(r), 3(1)(s), 3(1)(w), 3(2)(va) of SC/ST of POA",2,444
"143, 147, 427 IPC and 3, 4 the Prevention of Damage to Public Property Act 1984",1,445
"143, 147, 427 R/w 149 IPC and 3, 4 Prevention of Damage to Public Property Act 1984",1,446
"143, 147, 427, 436, 153(a), 295(a), 114, 120B, 188 r/w 149 of IPC and 2 of Prevention and Destructio",1,447
"143, 147, 427, 504, 323,506 r/w.   149 of IPC and  3-1-r, 3-1-g, 3-2-va of SC/ST POA Act",1,448
"143, 147, 427, 504,323, 506 r/w. 149 of IPC and Sec. 3-1-10, 3-1-15 of SC/ST POA Act",1,449
"143, 323, 324, 506 r/w 149 IPC  Sec. 3(1)(r), 3(1)(s) of SC ST POA act",5,450
"143, 323, 324, 506 r/w 149 of IPC and Sec. 3(1)(r), 3(2)(va) of SC/ST POA Act",1,451
"143, 323, 504 r/w 149 of IPC and sec. 3(1)(r), 3(1)(s) of SC/ST POA Act.",1,452
"143, 341, 504, 323, 324, 147, 506 r/w. 149 of IPC and Sec. 3(1)(x) of SC/ST POA Act",1,453
"143, 341, 504, 323, 324, 147, 506, r/w. 149 of IPC 1860 and Sec. 3(1)(r)(u) of SC/ST POA Act1989",2,454
"143, 376(2)(n), 323, 341, 417, 420, 504, 506, 114 r/w 149 of IPC and Sec. 3(1)(w), 3(2)(va)  SC/ST A",1,455
"143, 447, 506,355, 323, 504R/w 149 of IPC and Sec. 3(1)(r) 3(1)(s)3(1)(i), 3(1)(g) of SCST POA Act.",1,456
"143, 504, 323, 506,427,  149 of IPC and sec. 3(1)(r),3(1)(s),3(2)(va)of SC /ST POA Act.",3,457
"143,144,146,147,148,149,120 B,302,141,142  of IPC and U/S 5,9 B1 of Explosivi Substances Act 1908",1,458
"143,144,147 341, 323, 354,504,506 r/w 149 of IPC 3(1)(r), 3(1)(c), 3(1)(s), 3(1)(t), 3(1)(w) SC/ST",1,459
"143,144,147,148,323,324, 354, 355,504,506 r/w 149 of IPC and Sec.3(1)(r),3(1)(s),3(2)(va) SC/ST",1,460
"143,144,147,148,341,504,323,324,353,332,186,149 of IPC 1860 and sec. 86,87Karnataka Forest act 1963",1,461
"143,144,147,148,341,504,323,324,354,436,506,149 of IPC ,Sec.3(1)(r),(s),(t),3(2)(va),3(2)(iii)SC/ST",1,462
"143,144,147,148,427,504,323, 307,324,114 r/w 149 of IPC and Sec.3(1)(r), 3(1)(s),3(2)(v) SC/ST Act",1,463
"143,145,188,186,435,307,427,153(a),295(a) r/w149 of IPC, Sec. 2 of KPDLP Act 1981,3 of PDPP Act 1984",1,464
"143,147, 148, 323, 324, 504,506 r/w 149",1,465
"143,147,148 IPC AND 3 PDPP ACT",2,466
"143,147,148,307,153A,295A r/w 149 of IPC,sec 2 of KPDLP Act",1,467
"143,147,148,323,324,307,355,504,506.2. R/w 149 IPC and 3.1.X.XI, 3.2.V. SC/ST PA Act",1,468
"143,147,148,323,324,326,307,504,506.2. r/w 149 IPC and 3.I.X.  3.II.V. SC/ST PA Act 1989",1,469
"143,147,148,332,333,353,308,427,504 AND R/W 149 IPC AND 3 OF PDPP ACT 1984",2,470
"143,147,148,448,323,324,354(b),355,379,504,506 r/w149 of IPC and sec. 3(1)(r),3(1)(s),3(2)(va) SC/ST",1,471
"143,147,153(A),295(A),436,427 R/W SEC 149 OF IPC and SEC 2 OF KPDLP ACT and  SEC 4 OF PDP ACT",1,472
"143,147,323,431,504,506 r/w 149 of IPC and sec. 3(1)(r), 3(1)(s), 3(2)(va) of SC/ST POA Act.",1,473
"143,147,354,323,504,506 r/w 149 of IPC 1860 and Sec.3(1)(c),3(1)(r)(s)(2)(va) of SC and ST POA Act",1,474
"143,147,427,149,114 Prevention of destruction and Property Act1981",2,475
"143,147,427,436,153(a), 295(a), 114, 120(B), 188 r/w 149 of IPC, Sec. 2 of KPDLP, sec 4 of PDPP Act",1,476
"143,147,504,302 RW 149",2,477
"143,147,506,504,323,342 redwith 149 of IPC",12,478
"143,448,366(A),376(1) r/w 149 of IPC and Sec.4,6 of POCSO Act",1,479
"144 OF RAILWAYS ACT",15,480
"144 Railway Act",264,481
"144 i of railway second amendment act 2003",789,482
"144 of 1 of Railway Act 2003",74,483
"144, 143 427, 147, 506(2), 447, 148 r/w 149 of IPC and Sec 3(1)(r), 3(1)(g), 3(2)(va) of SC/ST Act",1,484
"145 Cr. P. C.",86,485
"145 of B and 154 of Railway Act",4,486
"146 RW 196 MV ACT",10,487
"146 r/w 196 m.v.act.",19,488
"147 B ACT",52,489
"147 Railway Act",276,490
"147 Railway Act.",30,491
"147 of Railway act 2003",119,492
"147.323.324",353,493
"148 A of CPC",2,494
"149, 143, 144, 147, 341, 427, 307, 308,  of IPC and sec. 3, 4 of Prevention of DPP Act 1984",1,495
"15 2 1x r w sec 177 M V Act",1,496
"15 A  32 of K.E. Act",373,497
"15 A 32 (3) K EX ACT",8,498
"15 A 32 III K EX ACT",42,499
"15 A 32 III KE ACT",5,500
"15 A K EX ACT",4,501
"15 A of KE Act",4,502
"15 Cl 2 of ME A and C in to Rytwari Act 1948",7,503
"15 R/w s 19,20 of Panchayat Raj Act  1993",2,504
"15 a R/w 177 3 R/w 181 M V Act",12,505
"15 and 16 Karnataka Panchayathraj act  1993",1,506
"15 of Panchayat Raj Act",12,507
"15(A)  32(3) K E Act",46,508
"15/A,32/3 EXCISE ACT",1,509
"150 KMC ACT",1,510
"150 Karnataka municipality.",1,511
"150 of KM Act",1,512
"150(3), 138(A) of IE Act 2003",1,513
"151 CPC",1,514
"151 CPC under 21 rule 11 R/w rule 35",3,515
